,left,right,type,Micro_C_score,abs_loop_prob
0,34200000,34574000,CTCF,0.14333557855325735,0.06331428571428573
1,34330000,34574000,CTCF,0.13792419200774209,0.04022857142857143
2,34200000,34694000,CTCF,0.07979662232856058,0.045942857142857146
3,34300000,34694000,CTCF,0.020674840870185764,0.0007428571428571429
4,34200000,34866000,CTCF,0.008763622059221567,0.011542857142857143
5,34330000,34866000,CTCF,0.01341090478434949,0.007257142857142857
6,34724000,34866000,CTCF,0.5049171114054172,0.1849142857142857
7,34724000,35241000,CTCF,0.03668069247196719,0.010571428571428572
8,34724000,35390000,CTCF,0.07406631914215801,0.04125714285714285
9,34724000,35580000,CTCF,0.012672566482292591,0.012057142857142858
10,34724000,35752000,CTCF,0.0006702939100842689,0.005942857142857143
11,35604000,35752000,CTCF,0.2630995738061281,0.07359999999999998
12,35604000,35800000,CTCF,0.01210972077074694,0.0036
13,34250000,34372000,EP,0.05405782982146106,0.023714285714285722
14,34250000,34540000,EP,0.029310932204669876,0.013257142857142861
15,34372000,34540000,EP,0.046072387022383345,0.019942857142857144
16,34540000,34745000,EP,0.021088623605321037,0.014800000000000002
17,34745000,34775000,EP,0.19475814752433698,0.11497142857142853
18,34745000,34833000,EP,0.08722725680915681,0.054057142857142866
19,34745000,34961000,EP,0.04237075519699841,0.019542857142857143
20,34745000,35202000,EP,0.03564090184863853,0.01485714285714286
21,34775000,34833000,EP,0.12428368605446677,0.06091428571428571
22,34775000,34961000,EP,0.03933023466485973,0.02068571428571429
23,34833000,34961000,EP,0.051198633440098285,0.023542857142857143
24,34833000,35202000,EP,0.03111538600847427,0.016114285714285713
25,34961000,35202000,EP,0.03632519207513256,0.016057142857142857
26,34961000,35330000,EP,0.0293246687667782,0.011828571428571426
27,35202000,35330000,EP,0.05309625779214051,0.02291428571428572
28,35640000,35722000,EP,0.08303315971076525,0.03422857142857144
