,T1,T2,C3,C4
3,0.1354565836237538,0.07934526844221611,0.05031739067315978,0.024338208581524214
10,0.1743210551231787,0.12200349419816683,0.059306626734850446,0.019409000925039704
36,0.07448988688147162,0.12029656042808305,-0.004015309160403793,-0.00639302978720456
47,0.04910165685721838,0.06531253406844356,0.009103722419817044,0.02683656301849338
48,0.0840923544176555,0.05627947535327635,0.07481909161411966,0.06812844476021183
61,0.037843324157171246,0.11956342849329343,0.007424024446672675,0.06702373720982126
73,0.26780315514059083,0.33554194489308875,-0.015897117136111985,-0.035136805963627143
79,-0.007983421379883556,-0.0020201288609787652,0.00924369746014974,0.027650940451281966
80,0.01309892441489623,-0.02508128639205869,0.016641455306041945,0.010731816469457657
91,0.017485530279293834,0.0024666478027282877,0.008666465435988365,-0.0011893969164576993
100,0.05545643742560891,0.08611835697977786,0.09039669565390117,0.04879596941784843
134,0.061521419268626254,0.048987218763629214,0.030471736388393053,0.04636150023897233
142,0.08177829045615435,0.1109622964011018,0.08054174968823252,0.053740189212416925
143,0.028350311108952947,0.01884225293123354,0.08654583659516002,0.0527449345571912
199,0.039444169090818194,0.039223879634877876,0.053511358457175584,0.013306846502608766
208,0.04055528392541387,0.0839095365651128,0.08966821292919444,0.10774528270567696
216,0.013038802410640728,0.027049284551795148,0.04224001427119191,0.050725897316181295
217,0.0824143980678497,0.06245146442582528,0.05506421343305937,0.03951536426580111
220,0.04566008682401371,0.06203551026253517,0.011875886728114474,0.03334764442451686
238,0.11977258761702295,0.06467900667319275,0.06436851919840425,0.05045930013429198
254,0.014596019358749431,0.0560176580913444,0.12321328432294645,0.08369276759061337
263,0.08744992803292972,0.06745103295821436,0.06090418321986563,0.06976867020229406
264,0.018647886734041115,0.022415288204782655,0.07497097615963738,0.06696919292091799
284,0.015559765354660143,0.041863039156912696,-0.026142488009254342,-0.0026233759099003
287,0.0389659153165178,0.011516283247644947,0.021258517712098166,0.015639172897120662
288,-0.005088344399882224,0.0039025620249595553,0.01031814750661784,0.005783054738001321
291,0.005391742379483389,-0.0023997405477899202,0.01469843123743125,0.0037144638849949257
303,0.07348459121687098,0.08738949370368165,0.03334063010682778,0.05051891121020311
